분기,2011 1/4,2011 2/4,2011 3/4,2011 4/4,2012 1/4,2012 2/4,2012 3/4,2012 4/4,2013 1/4,2013 2/4,2013 3/4,2013 4/4,2014 1/4,2014 2/4,2014 3/4,2014 4/4,2015 1/4,2015 2/4,2015 3/4,2015 4/4,2016 1/4,2016 2/4,2016 3/4,2016 4/4,2017 1/4,2017 2/4,2017 3/4,2017 4/4,2018 1/4,2018 2/4
국내총생산(명목GDP),312181,330892,337411,352197,327407,343894,347443,358713,335961,356630,363828,373027,353743,370186,376448,385702,369947,389174,398477,406526,387353,409959,415025,425084,406309,431026,446835,446227,420675,446044
경제성장률(실질GDP성장률),4.9,3.6,3.3,3.1,2.6,2.4,2.1,2.1,2.1,2.7,3.2,3.5,3.9,3.5,3.4,2.7,2.6,2.4,3.0,3.2,3.0,3.5,2.7,2.6,2.9,2.8,3.8,2.8,2.8,2.9
